mutational_propensity	cancer_type	gene	variant	Immune_cell_type	Beta_value	Weak	WeakFDR	P	FDR
MP5	UCEC	ACSL1	Somatic_Nsy_mutations	T_Cells_CD8	46.2027262159309	0.003082997981418	0.029040061793013	0.007448150965073	0.095675467365293
MP5	UCEC	ACSL1	Somatic_Nsy_mutations	Macrophages_M1	158.671512907713	0.015689634260507	0.043526082142052	0.018238788856272	0.054103470465792
MP5	UCEC	ACSL1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	45.3834826935275	1.51388083496067E-05	0.000289319448459	0.00018045815318	0.004330742004682
MP6	UCEC	ACSL1	SCNAs	Mast_Cells_Resting	-21.9693998260316	7.79319494828826E-05	0.000792308153076	0.006986582492473	0.074155739345104
MP6	UCEC	ACSL1	Somatic_Nsy_mutations	Macrophages_M1	113.470255281254	0.029570287445114	0.062931637383192	0.037979803776941	0.092715403337827
MP6	UCEC	ACSL1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	27.9161762757137	1.11862963284684E-05	0.000265275027218	0.000570474295589	0.011837341633482
MP6	pan-cancer	ACSM5	TSS_methylation	Eosinophils	-136.96397124385	1.05554951549486E-05	0.0001004587102	0.020035702278047	0.061216617812143
MP6	pan-cancer	ACSM5	TSS_methylation	Mast_Cells_Activated	-17.6334918080505	3.0455070093261E-06	6.36720899572691E-05	0.017363057257534	0.073508209789936
MP6	pan-cancer	ACSM5	TSS_methylation	Neutrophils	-44.445773775166	7.84767903267164E-07	4.02456221579019E-06	0.016019171368413	0.049868999915606
MP4	UCEC	ACTL7A	SCNAs	T_Cells_Follicular_Helper	38.4414118061368	0.013413696672998	0.035493805091417	0.018575055497265	0.078429814510547
MP4	UCEC	ACTL7A	SCNAs	T_Cells_CD8	19.0511321544936	0.000161909047893	0.001326171893391	0.000586626450834	0.009580417340203
MP5	UCEC	ACTN1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	41.2647328104031	0.001698010798662	0.007123362374875	0.006017976948132	0.023524818979062
MP5	pan-cancer	ACTR10	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	75.7646111120507	0.006336537059863	0.015143249583741	0.009501721996188	0.025518910504047
MP5	pan-cancer	ACTR10	Somatic_Nsy_mutations	Macrophages_M1	82.5930341279293	0.00447390669042	0.035045602408288	0.00954177893042	0.078149686421714
MP5	UCEC	ACTR1B	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	50.2484184595822	0.011620663527899	0.029393443041157	0.018434232687833	0.045295543175817
MP1	pan-cancer	ACTR2	SCNAs	Macrophages_M1	-40.8987344670627	0.001969200363686	0.006920332706669	0.008854614790084	0.043812672109686
MP1	pan-cancer	ACTR2	SCNAs	Mast_Cells_Resting	22.5857811889134	9.69703977207628E-05	0.001289567759235	0.002184298655079	0.024424430415885
MP1	pan-cancer	ACTR2	SCNAs	Mast_Cells	18.7562482805318	1.4063417543892E-05	0.000261860910141	0.001151356865861	0.011294673633005
MP3	UCEC	ACVR1	SCNAs	T_Cells_CD8	19.636132574936	0.009539947489444	0.025594981069241	0.02224088296995	0.048111999563361
MP3	UCEC	ACVR1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	47.9531652145949	0.060514738315387	0.087058989132884	0.056894201659434	0.084360367977781
MP4	UCEC	ADAD1	SCNAs	T_Cells_Follicular_Helper	25.2040347017621	0.003278841542677	0.018443483677558	0.011733512870343	0.059087377738836
MP4	UCEC	ADAD1	SCNAs	T_Cells_CD8	18.2728853237139	0.00247545450381	0.006962215791967	0.005858309031142	0.017574927093425
MP4	UCEC	ADAD1	Somatic_Nsy_mutations	Macrophages_M1	54.0565738222506	0.000833793311304	0.00760223313248	0.005420169126314	0.073045113408698
MP4	UCEC	ADAD1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	31.0950461651886	0.009875782424242	0.022846959339665	0.018831599273322	0.073194758501457
MP2	pan-cancer	ADAM29	TSS_methylation	Neutrophils	-60.4326664966446	0.000162368181565	0.000365723984859	0.034530304114934	0.071072100586721
MP1	pan-cancer	ADAM30	SCNAs	Mast_Cells_Resting	21.1646691880639	0.000275616693138	0.002034474766215	0.00538960106081	0.030132769567255
MP6	UCEC	ADAMTS19	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	31.7938171034689	0.002667153515306	0.013920434367294	0.011577032507424	0.061625136715548
MP5	pan-cancer	ADAMTS3	Somatic_Nsy_mutations	Macrophages_M1	119.515707266229	0.001977544951957	0.025543448757063	0.003340972176622	0.058072651710173
MP5	pan-cancer	ADAMTS3	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	67.6436051395004	1.25876502640153E-06	2.36647824963488E-05	7.06029347094889E-06	0.000248875344851
MP6	BRCA	ADAMTS5	TSS_methylation	Mast_Cells	33.0848106322712	0.044969944886564	0.044969944886564	0.073047479078925	0.073047479078925
MP6	BRCA	ADAMTS5	TSS_methylation	Mast_Cells_Resting	31.6153390471538	0.042159703949492	0.042159703949492	0.067349169621391	0.067349169621391
MP6	BRCA	ADAMTS5	TSS_methylation	Macrophages_M0	-11.9377347965386	0.001212549221514	0.001212549221514	0.015077893742213	0.015077893742213
MP6	BRCA	ADAMTS5	TSS_methylation	Macrophages_M2	20.2630033108753	0.044793307770231	0.044793307770231	0.084719663078632	0.084719663078632
MP6	pan-cancer	ADAMTS5	TSS_methylation	Eosinophils	-115.095947759427	0.000116040341052	0.000300104330307	0.073499562715546	0.091874453394432
MP6	pan-cancer	ADAMTS5	TSS_methylation	Mast_Cells_Activated	-15.6420422492545	0.000110487191821	0.000394597113645	0.071455656455796	0.099243967299717
MP6	pan-cancer	ADAMTS5	TSS_methylation	Neutrophils	-31.2726202150279	2.33617246079989E-07	2.88616134580331E-06	0.058482107299964	0.075623414612023
MP3	UCEC	ADAMTS6	SCNAs	Mast_Cells_Resting	-37.4785576691938	0.000144422095016	0.000722110475081	0.001508081830187	0.009216055628922
MP3	UCEC	ADAMTS6	SCNAs	T_Cells_Follicular_Helper	35.3501927550735	0.001167288243675	0.011672882436749	0.001998029710678	0.01998029710678
MP3	UCEC	ADAMTS6	SCNAs	Dendritic_Cells_Activated	-53.022607019375	0.001172365888138	0.016788555747826	0.007089285749086	0.09315717344224
MP3	UCEC	ADAMTS6	SCNAs	Mast_Cells	-46.9080653330396	0.002596784820624	0.020403309304904	0.009958200446725	0.082437606504132
MP3	UCEC	ADAMTS6	SCNAs	T_Cells_CD8	24.2192892160588	0.000324609150691	0.004190360154614	0.00077658024525	0.010540243265575
MP3	UCEC	ADAMTS6	SCNAs	B_Cells_Memory	-39.5363858230553	6.63268775197273E-05	0.000911994565896	0.001676725565538	0.029294194899695
MP2	pan-cancer	ADCY10	TSS_methylation	Neutrophils	-54.6266948268086	9.07345757856869E-05	0.00027162945789	0.041256090099451	0.073638228743548
MP6	UCEC	ADCY10	SCNAs	B_Cells_Memory	-30.0732410601836	7.38171779576496E-06	5.00316428379625E-05	0.001019904383574	0.006221416739802
MP6	UCEC	ADCY10	Somatic_Nsy_mutations	Macrophages_M1	91.9174573322242	0.000473703586771	0.006048830415691	0.001494856045889	0.033627724279455
MP6	UCEC	ADCY10	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	36.3656912990558	1.52245432555683E-05	0.000280808242269	0.000223767739497	0.007429088951314
MP3	UCEC	ADCY10	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	29.5229052243082	5.59169959718071E-06	0.000120221541339	5.89645824840405E-05	0.00178036657531
MP3	UCEC	ADCY10	Somatic_Nsy_mutations	Macrophages_M1	84.6633829641672	0.000691596271698	0.007359300565981	0.00248967102862	0.052862765154644
MP4	UCEC	ADCY10	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	19.2764923148683	3.33801254334691E-05	0.000344927962813	0.001866362586223	0.026979128662495
MP4	UCEC	ADCY10	Somatic_Nsy_mutations	Macrophages_M1	56.914682487407	0.001938496621252	0.011000031171511	0.00839881832186	0.073045113408698
MP4	UCEC	ADCY8	SCNAs	T_Cells_Follicular_Helper	13.822902253462	1.34515679437271E-05	0.001210641114935	0.007415538740728	0.059087377738836
MP4	UCEC	ADCY8	SCNAs	T_Cells_CD8	15.7327020779493	0.005147835207914	0.01082985798351	0.015788586682863	0.035275092298296
MP5	pan-cancer	ADIPOR2	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	56.0395996588419	0.035654867459847	0.0598492418076	0.056348457226631	0.094140705893257
MP1	STAD	ADNP2	SCNAs	Plasma_Cells	-22.7101254480227	0.023800314073686	0.023800314073686	0.088492565984053	0.088492565984053
MP2	pan-cancer	ADORA2B	TSS_methylation	Neutrophils	-38.1437697188592	1.91152228749818E-06	9.04150041986639E-05	0.062596251944015	0.088382170655281
MP2	pan-cancer	ADRB3	TSS_methylation	Neutrophils	-63.8185908827297	0.000411990708638	0.000735364547871	0.039840954245538	0.073423334706228
MP3	UCEC	ADRM1	SCNAs	T_Cells_Follicular_Helper	48.8706664469521	0.005823762886534	0.02350120705132	0.005480950871059	0.031731820832447
MP3	UCEC	ADRM1	SCNAs	T_Cells_CD8	43.0300575437864	0.01835336704346	0.038824430284242	0.014975779659455	0.03504969707532
MP3	UCEC	ADRM1	SCNAs	B_Cells_Memory	-60.4589030196684	0.002329875068184	0.007766250227279	0.006171616184077	0.038701652398271
MP3	UCEC	ADRM1	SCNAs	Mast_Cells_Resting	-57.0932465793109	0.003557157090849	0.007825745599868	0.006314075341464	0.018581768592702
MP3	COAD	AEBP1	SCNAs	Macrophages_M1	98.9357519419752	0.01386651637619	0.067599267333926	0.014619834187108	0.076925727622385
MP6	pan-cancer	AFAP1	TSS_methylation	Neutrophils	-50.1818669878043	3.88424540092643E-05	8.09217791859674E-05	0.027926639952739	0.049868999915606
MP6	pan-cancer	AFAP1	TSS_methylation	Eosinophils	-143.460639365664	7.506520880311E-05	0.000216534256163	0.030624419128822	0.061216617812143
MP6	pan-cancer	AFAP1	TSS_methylation	Mast_Cells_Activated	-22.9708772337799	0.000759156178597	0.001388700326702	0.039209609391168	0.073508209789936
MP6	pan-cancer	AFAP1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	27.3100799891984	5.34375774501963E-05	0.000344137998779	0.003749390967389	0.023130016600132
MP6	pan-cancer	AFAP1	Somatic_Nsy_mutations	Macrophages_M1	30.940808507103	2.53718819733409E-05	0.000680812166285	0.003655151534033	0.060329370870279
MP5	UCEC	AFM	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	58.7404516418137	0.003318668911706	0.010977135631027	0.005329992628326	0.021827588858861
MP5	pan-cancer	AFP	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	55.0213757971947	3.96045965943581E-06	4.68746700749232E-05	3.61432512559273E-05	0.000637024803386
MP6	pan-cancer	AGAP1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	31.8682682051089	0.006002872180413	0.012080780263081	0.034120772758881	0.074235735326754
MP4	UCEC	AGAP2	Somatic_Nsy_mutations	Macrophages_M1	38.0765396308563	1.18752310974202E-05	0.000460165205025	0.002310485157387	0.073045113408698
MP4	UCEC	AGAP2	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	19.1282070731793	0.000106309301596	0.000823897087366	0.003634462214424	0.037556109549046
MP4	UCEC	AGAP2	Somatic_Nsy_mutations	T_Cells_CD8	20.7129364014749	0.007977258962369	0.052932980209862	0.01200749431472	0.09335617500241
MP2	pan-cancer	AGBL1	TSS_methylation	Neutrophils	-75.407996128457	5.82543555878376E-05	0.000268541611507	0.009464329531942	0.071072100586721
MP3	UCEC	AGBL1	SCNAs	Mast_Cells_Resting	-34.8815672957666	0.001251648635861	0.003358081705969	0.008091859147826	0.021564829645674
MP3	UCEC	AGBL1	SCNAs	T_Cells_Follicular_Helper	33.1916258952218	0.006204581392386	0.023511527539696	0.009765236852426	0.037040553578166
MP3	UCEC	AGBL1	SCNAs	B_Cells_Memory	-29.6054331507986	2.11443247573279E-05	0.000387645953884	0.003461484150961	0.029294194899695
MP3	UCEC	AGBL1	SCNAs	T_Cells_CD8	19.5328284388765	0.000394842636895	0.004190360154614	0.002089959001946	0.012771971678558
MP3	UCEC	AGBL1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	53.0283309374336	0.012355245331584	0.026563777462906	0.01105078901096	0.030657027578792
MP3	UCEC	AGBL1	Somatic_Nsy_mutations	Macrophages_M1	129.582995069078	0.026362545453796	0.056679472725662	0.032007002827834	0.089027726467257
MP2	pan-cancer	AGER	TSS_methylation	Neutrophils	-56.3957043847837	7.62915907653324E-05	0.000268541611507	0.034786702288733	0.071072100586721
MP1	pan-cancer	AGTR1	SCNAs	Mast_Cells	25.7365135815378	0.001363094796838	0.005588688667035	0.006734185199966	0.033282387958903
MP1	pan-cancer	AGTR1	SCNAs	Macrophages_M1	-43.6560410432663	0.00330744103116	0.010170381170817	0.011350613206576	0.043910597072895
MP1	pan-cancer	AGTR1	SCNAs	Mast_Cells_Resting	34.4725402841437	0.009762965146533	0.023093167558146	0.020544132170884	0.066498112026808
MP5	UCEC	AHI1	Somatic_Nsy_mutations	Macrophages_M1	141.054723640799	0.02452979575902	0.05479382948768	0.028879018136397	0.069766452294459
MP2	pan-cancer	AHRR	TSS_methylation	Neutrophils	-73.7798499102693	0.000229059401023	0.000465223916156	0.018799872653512	0.071072100586721
MP2	pan-cancer	AHSP	TSS_methylation	Neutrophils	-52.2078107489382	1.27751904994283E-05	0.000222319549713	0.027930554617277	0.071072100586721
MP1	UCEC	AKNA	SCNAs	T_Cells_CD8	20.0229477140754	0.000189978906659	0.00359008764105	0.000698230962345	0.015741149446521
MP1	UCEC	AKNA	SCNAs	B_Cells_Memory	-52.6408556163646	0.012932192360796	0.037949231332554	0.017819282330079	0.07479530137437
MP1	UCEC	AKNA	SCNAs	Mast_Cells_Resting	-36.5562733113488	0.00125536669215	0.007699248175037	0.003944869893406	0.039752150464319
MP1	UCEC	AKNA	SCNAs	T_Cells_Follicular_Helper	36.1999024711296	0.005852970154658	0.023234517886675	0.010231309501211	0.054417015050243
MP5	UCEC	AKNAD1	Somatic_Nsy_mutations	Macrophages_M1	149.036250384518	0.017001653821929	0.045052464865864	0.020172513612942	0.056879874449608
MP5	UCEC	AKNAD1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	64.0086384357443	0.005923592399913	0.018425758501863	0.008016560751215	0.027780629979792
MP2	pan-cancer	AKR1A1	TSS_methylation	Neutrophils	-48.839961887144	6.13877455212514E-05	0.000268541611507	0.054876196616891	0.082140636075282
MP5	UCEC	ALG11	Somatic_Nsy_mutations	Macrophages_M1	113.650101011191	0.011932694667809	0.036007429523915	0.018125767121086	0.054103470465792
MP6	UCEC	ALG8	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	31.3908025790108	0.006510790685169	0.022516484452877	0.022214783163241	0.071027421067054
MP5	UCEC	ALK	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	64.4378070470116	0.002786915711052	0.0099753929958	0.004171742442688	0.018398453849804
MP5	UCEC	ALK	Somatic_Nsy_mutations	Macrophages_M1	149.784279789273	0.009455791486467	0.031276848762929	0.011914395681722	0.043601618239493
MP2	pan-cancer	ALPK3	TSS_methylation	Neutrophils	-70.3701227258444	0.001557476612902	0.00219906399374	0.049783717637009	0.079407254327193
MP1	UCEC	ALPK3	SCNAs	B_Cells_Memory	-14.6932493689365	0.000108820464036	0.001833124647342	0.026849694719235	0.092560789689994
MP1	UCEC	ALPK3	SCNAs	T_Cells_CD8	10.6548884913325	0.00278523168684	0.010381576051753	0.033932294031634	0.074085508635735
MP1	UCEC	ALPK3	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	22.3004080795081	0.00310761180492	0.010773054257055	0.014499932777672	0.099916962244955
MP5	BRCA	ALX1	SCNAs	Mast_Cells_Activated	-175.17093002756	0.050827393861531	0.050827393861531	0.080304003545906	0.080304003545906
MP5	BRCA	ALX1	SCNAs	Neutrophils	308.849418871748	0.044356780567215	0.044356780567215	0.088225640106124	0.088225640106124
MP5	BRCA	ALX1	SCNAs	B_Cells_Naive	-45.0745636226807	0.030847771006951	0.030847771006951	0.071552399895426	0.071552399895426
MP5	BRCA	ALX1	SCNAs	Dendritic_Cells_Activated	-63.3753190915984	0.00451050617054	0.00451050617054	0.023167888795747	0.023167888795747
MP5	BRCA	ALX1	SCNAs	Mast_Cells_Resting	36.4864827132861	0.028616752249651	0.028616752249651	0.049119283289748	0.049119283289748
MP5	BRCA	ALX1	SCNAs	T_Cells_CD4_Naive	-388.177185630431	0.060567067121655	0.060567067121655	0.089692672422492	0.089692672422492
MP5	BRCA	ALX1	SCNAs	Mast_Cells	45.5903571553375	0.066401031448358	0.066401031448358	0.088185309851004	0.088185309851004
MP1	pan-cancer	AMDHD2	SCNAs	Macrophages_M2	8.37708282170086	2.11511574670857E-06	6.50398092112885E-05	0.001940131972816	0.031957408508097
MP1	pan-cancer	AMDHD2	SCNAs	Macrophages_M1	-29.3328514643221	0.000127464799683	0.002301632167045	0.004295873193179	0.039073541388698
MP4	UCEC	AMIGO1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	25.8384690385812	0.015129077135385	0.031266759413128	0.035314790739513	0.081904875113451
MP6	pan-cancer	AMMECR1L	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	24.6414322996629	0.000146156318512	0.000714965209291	0.009706191097566	0.03634178527228
MP4	UCEC	AMY2A	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	28.1039898917123	0.02501909545962	0.044574250531506	0.045939660020713	0.090134775990006
MP1	pan-cancer	ANAPC1	SCNAs	Mast_Cells_Resting	18.8563519346474	0.003340582055725	0.009082380667936	0.033271856433304	0.084648137968159
MP2	pan-cancer	ANGPTL7	TSS_methylation	Neutrophils	-56.7771797596706	6.80756231367872E-05	0.000268541611507	0.032717391156876	0.071072100586721
MP5	UCEC	ANKRD17	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	63.0521166138663	0.001090545939232	0.00535925432994	0.00195261875824	0.011581049186802
MP5	UCEC	ANKRD17	Somatic_Nsy_mutations	Macrophages_M1	154.625280329958	0.007455078271738	0.026168846178344	0.009492962950955	0.039497242568024
MP6	UCEC	ANKRD17	Somatic_Nsy_mutations	Macrophages_M1	114.373679757921	0.01114228983356	0.031349493430016	0.015867907810894	0.05887634330998
MP6	UCEC	ANKRD17	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	59.9678981618502	0.019315742781955	0.047153136791244	0.025227191614962	0.073468663299713
MP6	pan-cancer	ANKRD20A3	TSS_methylation	Eosinophils	-125.106720746257	1.14242372128747E-05	0.0001004587102	0.030113452128493	0.061216617812143
MP6	pan-cancer	ANKRD20A3	TSS_methylation	Mast_Cells_Activated	-19.8014168271433	0.000160258737129	0.000522582838465	0.036201746334717	0.073508209789936
MP6	pan-cancer	ANKRD20A3	TSS_methylation	Neutrophils	-41.0567404754443	1.14954837824446E-06	4.53769096675445E-06	0.025647530400862	0.049868999915606
MP3	COAD	ANKRD29	SCNAs	T_Cells_CD8	25.5713701305082	1.22998531146084E-05	0.00047969427147	0.000440841425011	0.011814861858929
MP3	COAD	ANKRD29	SCNAs	NK_Cells_Activated	80.0245082190947	0.000293075950579	0.011429962072564	0.001346083747136	0.027772647495869
MP3	COAD	ANKRD29	SCNAs	Macrophages_M1	62.9476720615675	0.00120086794255	0.018905547341742	0.002594257893869	0.033725352620292
MP2	pan-cancer	ANKRD36B	TSS_methylation	Neutrophils	-56.6688327551701	7.30571440353182E-05	0.000268541611507	0.033697141272695	0.071072100586721
MP5	pan-cancer	ANKRD40	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	74.2613284309469	0.023369331959701	0.041447494419093	0.031371742046544	0.059775886872468
MP6	pan-cancer	ANKRD54	TSS_methylation	Eosinophils	-187.86261385415	0.000864100545644	0.001322602875986	0.030758413573121	0.061216617812143
MP6	pan-cancer	ANKRD54	TSS_methylation	Mast_Cells_Activated	-28.1101381484192	0.002416724085134	0.003699067477247	0.036862385679555	0.073508209789936
MP6	pan-cancer	ANKRD54	TSS_methylation	Neutrophils	-61.3991045924198	0.000210474582432	0.000315711873647	0.023352172753406	0.049868999915606
MP1	UCEC	ANKS6	SCNAs	B_Cells_Memory	-47.1972523632368	0.004777999907145	0.020689933698743	0.008225005262281	0.063026565845177
MP1	UCEC	ANKS6	SCNAs	Mast_Cells_Resting	-48.7543354418782	0.014660271216638	0.040010323528742	0.021335193421097	0.082203245240107
MP1	UCEC	ANKS6	SCNAs	T_Cells_Follicular_Helper	28.2559282937224	0.000304240212029	0.005122976292179	0.001481172354958	0.026909470677258
MP1	UCEC	ANKS6	SCNAs	T_Cells_CD8	21.6283817963095	0.000465889235861	0.00359008764105	0.001184823477239	0.015741149446521
MP6	pan-cancer	ANKZF1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	26.3439566581718	5.85610701398649E-08	2.35708307312956E-06	0.000141583687974	0.004558994752779
MP4	COAD	ANLN	SCNAs	Macrophages_M1	30.955098201664	0.00434644318152	0.028976287876797	0.024767865433918	0.099071461735671
MP5	pan-cancer	ANXA1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	41.0523942823938	3.88086052374283E-05	0.000288000702025	0.000646378207651	0.003878269245905
MP5	pan-cancer	ANXA11	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	39.3329610932469	3.13305444101328E-07	9.16006110566575E-06	3.24774311830569E-05	0.000610575706241
MP5	pan-cancer	ANXA11	Somatic_Nsy_mutations	Macrophages_M1	76.3102501764522	0.002985339693894	0.027324067736985	0.007534091506444	0.074891684600468
MP6	UCEC	AP1B1	Somatic_Nsy_mutations	Macrophages_M1	78.096179620168	0.004157047673365	0.01801229084356	0.010923756015153	0.049009283743659
MP6	UCEC	AP1B1	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	48.0381429350958	0.02492154956958	0.059099674693575	0.036494596406344	0.094657859428955
MP6	pan-cancer	AP3M2	TSS_methylation	Neutrophils	-58.1735832738883	0.000941674415163	0.001197043748088	0.050305166533533	0.068641902595842
MP6	pan-cancer	AP3M2	TSS_methylation	Eosinophils	-177.307313383763	0.002835829662876	0.003797986155638	0.061110501123056	0.08184442114695
MP2	pan-cancer	AP3S2	TSS_methylation	Neutrophils	-56.2881748524213	7.02068342305254E-05	0.000268541611507	0.034140200058419	0.071072100586721
MP6	UCEC	APBA3	SCNAs	Mast_Cells_Resting	-21.6998815985369	9.65036575408611E-05	0.000840960444285	0.008165521247196	0.074155739345104
MP6	UCEC	APBA3	SCNAs	B_Cells_Memory	-34.5364831753795	0.006563081378338	0.014298141574235	0.029306957310512	0.078110707741044
