sigs	drug	P	OR	X2.5..	X97.5..	r2	FDR	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME
APOBEC	5	0.428879818060793	0.831494166095541	0.523059191630266	1.32180556104181	0.0147879955418444	0.966239807409131	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
NpCpG	5	0.0618708897424714	0.59021276623998	0.339111568492624	1.02724631595759	0.0743217277645675	0.257125775553128	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
MMR	5	0.0412276278540627	0.707075152480353	0.507107431192519	0.985896164210047	0.0869036111794654	0.105542727306401	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
EPP2	5	0.292335989668498	0.780678414236165	0.490065781073009	1.2436264885091	0.0600528532905833	0.97011631765142	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
EPP1	6	0.779083862952154	1.110863898888	0.481680696009014	2.56190171638011	0.0670443455333152	0.984523882549489	PHA-665752	MET	RTK signaling
Tobacco	6	0.305306384502194	0.889169052750389	0.708667535125611	1.11564529935591	-0.0487505273283713	0.693282678191123	PHA-665752	MET	RTK signaling
APOBEC	6	0.871571031980067	0.975696370167102	0.720494382659912	1.32129192075411	-0.104342149571417	0.994324736052558	PHA-665752	MET	RTK signaling
NpCpG	6	0.767545326760539	1.05314942099327	0.743729617898872	1.4912996285826	-0.0706355248462003	0.899686829902464	PHA-665752	MET	RTK signaling
MMR	6	0.467900909403469	0.924913719189627	0.747230025221421	1.14484878694709	-0.0786878121951575	0.562888312064323	PHA-665752	MET	RTK signaling
EPP2	6	0.912419524038956	0.985605457526484	0.758375698659269	1.28091936440389	-0.0492794082181893	0.976502500643699	PHA-665752	MET	RTK signaling
EPP1	9	0.401870831964312	0.690533144535648	0.266484824717721	1.78935526331523	-0.0883769581331015	0.911825139299392	MG-132	Proteasome, CAPN1	Protein stability and degradation
Tobacco	9	0.276266157184917	0.826927117448552	0.585407460354915	1.16808975607724	0.0434868222090611	0.664700528565214	MG-132	Proteasome, CAPN1	Protein stability and degradation
APOBEC	9	0.852883684153144	1.03853142529983	0.69186022145947	1.55890957144511	-0.060857901625246	0.994324736052558	MG-132	Proteasome, CAPN1	Protein stability and degradation
NpCpG	9	0.00993851137088401	0.40854339619719	0.208251014462774	0.801473678324721	0.0960341706294688	0.130790321475421	MG-132	Proteasome, CAPN1	Protein stability and degradation
MMR	9	0.190821858713275	0.801189781390575	0.573288490700121	1.11968943423364	0.000861216080315086	0.309964440549482	MG-132	Proteasome, CAPN1	Protein stability and degradation
EPP2	9	0.805825846448804	0.944275555944835	0.593996644759588	1.50111340429509	0.0384505949355416	0.97011631765142	MG-132	Proteasome, CAPN1	Protein stability and degradation
EPP1	11	0.311923431198976	3.49213783136402	0.231533757308021	52.6706203666887	0.14020005194333	0.884559976551991	Paclitaxel	Microtubule stabiliser	Mitosis
Tobacco	11	0.182462054820521	0.759629866408816	0.505474468008713	1.14157602502354	0.0665043442734921	0.566872403325889	Paclitaxel	Microtubule stabiliser	Mitosis
APOBEC	11	0.0623379881175593	0.624187084743749	0.379954158407574	1.02541190335643	0.14261577694862	0.892949074100238	Paclitaxel	Microtubule stabiliser	Mitosis
NpCpG	11	0.00215493203073906	0.377115881539896	0.204775503895965	0.69449902651376	0.181701172321151	0.0734711612394364	Paclitaxel	Microtubule stabiliser	Mitosis
MMR	11	0.014604242325414	0.624924718026227	0.429810686492534	0.908611431667934	0.146589234157548	0.0549806769897939	Paclitaxel	Microtubule stabiliser	Mitosis
EPP2	11	0.0431090179039465	0.594758274078188	0.359654047006291	0.983549073141049	0.0973417321666917	0.97011631765142	Paclitaxel	Microtubule stabiliser	Mitosis
EPP1	17	0.691351674106605	0.91562226398331	0.563012992600703	1.48906711091924	-0.205940812950517	0.967077552578959	Cyclopamine	SMO	Other
Tobacco	17	0.4055341604591	0.921462239456588	0.758232194386765	1.11983197895081	0.0470947634020441	0.759748386516286	Cyclopamine	SMO	Other
APOBEC	17	0.779227147264751	0.968091197908807	0.768854101112378	1.21895762292556	0.0195920594568311	0.994324736052558	Cyclopamine	SMO	Other
NpCpG	17	0.0472505060513737	0.687941701480729	0.475477165957818	0.9953449261498	0.0717382288343509	0.217614228175638	Cyclopamine	SMO	Other
MMR	17	0.217914376756108	0.885961152003571	0.729520115869012	1.07594999203618	0.0380073701060866	0.332060002675973	Cyclopamine	SMO	Other
EPP2	17	0.721914663927534	0.953914665457712	0.732990895212135	1.24142495482423	0.0365740852072149	0.97011631765142	Cyclopamine	SMO	Other
EPP1	29	0.538429341466229	0.671737384078359	0.16441560458731	2.74445430104426	0.18192195873013	0.943967525706146	AZ628	BRAF	ERK MAPK signaling
Tobacco	29	0.335026457199952	0.830217075978706	0.566420320032981	1.21687087992623	0.124033271076413	0.722929167945602	AZ628	BRAF	ERK MAPK signaling
APOBEC	29	0.0686533489929191	1.45441813037962	0.970846442127719	2.1788534274699	0.174031644714472	0.892949074100238	AZ628	BRAF	ERK MAPK signaling
NpCpG	29	2.601907870466e-06	0.188102366217813	0.0980169331547722	0.360983546800734	0.352418428108616	0.000832610518549121	AZ628	BRAF	ERK MAPK signaling
MMR	29	0.130271215640333	0.743933520606351	0.506005947165784	1.09373632104849	0.162941384543777	0.235988908467961	AZ628	BRAF	ERK MAPK signaling
EPP2	29	0.281043103846246	0.761038962254539	0.460916069749319	1.25658517912918	0.143356903186406	0.97011631765142	AZ628	BRAF	ERK MAPK signaling
EPP1	30	0.178260854075884	0.648577034715224	0.331617723613141	1.26848518642724	0.503071371434054	0.830407215421263	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
Tobacco	30	0.446658907267756	0.901845452881665	0.688976356913487	1.18048349950195	0.0636333407466408	0.776951276766213	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
APOBEC	30	0.380768598886109	0.87803253622933	0.653901074818457	1.17898741012369	0.0710528543712005	0.965901097952808	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
NpCpG	30	0.0120452744592003	0.506734863643853	0.299451680647384	0.857501355400715	0.0875791166200368	0.137660279533718	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
MMR	30	0.0217550479381685	0.731753493743197	0.56119957931666	0.954140372409719	0.100542231860837	0.0734899748620001	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
EPP2	30	0.1687344077744	0.782236108086711	0.549984773332045	1.11256412625304	0.0860362219197388	0.97011631765142	Sorafenib	PDGFR, KIT, VEGFR, RAF	RTK signaling
EPP1	32	0.150554532401208	3.54916927923269	0.565123776945084	22.2899886476961	0.0296380445981692	0.830407215421263	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
Tobacco	32	0.639187065135434	0.911404078872996	0.615176947722493	1.35027393022705	-0.04902210739065	0.853404371252825	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
APOBEC	32	0.452502267202479	0.829611302574223	0.506086173496421	1.35995597074688	-0.0590592519871032	0.966239807409131	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
NpCpG	32	0.0355408307273612	0.527027197276286	0.290407227286754	0.956441991006767	0.0164096242631147	0.203090461299207	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
MMR	32	0.0277161809786381	0.673782388365654	0.47468993756134	0.956377354877174	0.0211667814098905	0.0837815913951869	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
EPP2	32	0.551208562864991	0.857274380440504	0.513157542683875	1.43215153676965	-0.0845639399488951	0.97011631765142	Tozasertib	AURKA, AURKB, AURKC, others	Mitosis
EPP1	34	0.11445028976803	1.90673330034366	0.822998356750135	4.41754451733761	0.690165274089493	0.830407215421263	Imatinib	ABL, KIT, PDGFR	Other, kinases
Tobacco	34	0.348350171244848	0.926122505938483	0.787491464793005	1.08915833929861	0.195813830320645	0.722929167945602	Imatinib	ABL, KIT, PDGFR	Other, kinases
APOBEC	34	0.94552243981867	1.00727218362973	0.815429014298918	1.24424963316582	0.157844629064872	0.994324736052558	Imatinib	ABL, KIT, PDGFR	Other, kinases
NpCpG	34	0.35608402688525	0.890121572077206	0.693381144825499	1.14268525902388	0.190493914001986	0.593473378142083	Imatinib	ABL, KIT, PDGFR	Other, kinases
MMR	34	0.0751302240446382	0.870443421764363	0.746812564874591	1.01454071092133	0.212492551263572	0.161353501303921	Imatinib	ABL, KIT, PDGFR	Other, kinases
EPP2	34	0.0794079246209369	0.834386908644745	0.681172646084027	1.02206322775893	0.213071344511339	0.97011631765142	Imatinib	ABL, KIT, PDGFR	Other, kinases
EPP1	35	0.426919641458294	2.10895059812181	0.269879867544653	16.4801941907817	-0.267929676886182	0.923069495044961	NVP-TAE684	ALK	RTK signaling
Tobacco	35	0.983142490574906	0.996955097149857	0.748313136236269	1.32821330750936	-0.0471012259138595	0.994520424326879	NVP-TAE684	ALK	RTK signaling
APOBEC	35	0.584982518505912	1.10704505711052	0.764244542265737	1.60360812631973	-0.0140551178044932	0.978801314786528	NVP-TAE684	ALK	RTK signaling
NpCpG	35	0.0821025750566485	0.677001678904307	0.435579821226202	1.05223256657988	0.0388106193823006	0.307347027838321	NVP-TAE684	ALK	RTK signaling
MMR	35	0.691509893543745	0.947407210944891	0.722884642364149	1.24166481171172	-0.0550753197225364	0.740077478040129	NVP-TAE684	ALK	RTK signaling
EPP2	35	0.34630083438809	0.842482517072233	0.587398499993963	1.20833946899704	0.0253021323932849	0.97011631765142	NVP-TAE684	ALK	RTK signaling
EPP1	37	0.931900932122648	1.03510245274433	0.419907007092826	2.55160564024707	0.0051803877520461	0.984523882549489	Crizotinib	MET, ALK, ROS1	RTK signaling
Tobacco	37	0.0369890402980478	0.797498501347452	0.645008067242152	0.986040162832041	0.089325154745294	0.310756892750825	Crizotinib	MET, ALK, ROS1	RTK signaling
APOBEC	37	0.139855408888773	0.807744564046488	0.607139052328391	1.07463237333274	0.0112176585367112	0.892949074100238	Crizotinib	MET, ALK, ROS1	RTK signaling
NpCpG	37	0.0172660052287565	0.667460163928368	0.479528280531178	0.929044414101698	0.0688242225192135	0.157860619234345	Crizotinib	MET, ALK, ROS1	RTK signaling
MMR	37	0.0425577207272948	0.807954573659511	0.657614460660127	0.992664596277333	0.0536648657900894	0.108083100259796	Crizotinib	MET, ALK, ROS1	RTK signaling
EPP2	37	0.247539746936479	0.855849706801963	0.655753397368163	1.11700331797407	0.0716752606704422	0.97011631765142	Crizotinib	MET, ALK, ROS1	RTK signaling
EPP1	38	0.283160594469177	2.2666733089996	0.439613524988367	11.6871015055034	0.069346593703066	0.868329326102119	Saracatinib	ABL, SRC	Other, kinases
Tobacco	38	0.814739350245317	0.969444550866858	0.745107312028551	1.26132534473025	0.0693176983322313	0.95153964087505	Saracatinib	ABL, SRC	Other, kinases
APOBEC	38	0.508067736330773	0.890089403980639	0.627314319264664	1.26293808820958	0.0476359515587975	0.978801314786528	Saracatinib	ABL, SRC	Other, kinases
NpCpG	38	0.0792272206351912	0.689158993346718	0.45425347896086	1.04553985848853	0.14078870250728	0.301817983372157	Saracatinib	ABL, SRC	Other, kinases
MMR	38	0.422382489899578	0.900729266917555	0.69560525410292	1.16634140914898	0.103985810594664	0.527978112374473	Saracatinib	ABL, SRC	Other, kinases
EPP2	38	0.136006150041288	0.76837068752632	0.542278898434369	1.08872669608612	0.130048095100486	0.97011631765142	Saracatinib	ABL, SRC	Other, kinases
EPP1	41	0.611537080928716	1.76091671344765	0.149066290611738	20.8016692370495	-0.151651129353529	0.945371332836662	S-Trityl-L-cysteine	KIF11	Mitosis
Tobacco	41	0.491010943145923	0.89154498308411	0.640386190559094	1.24120799071025	0.0778698329887693	0.788067012099753	S-Trityl-L-cysteine	KIF11	Mitosis
APOBEC	41	0.150669927465612	0.756461321867653	0.51545369675206	1.11015545157106	0.142904423506595	0.892949074100238	S-Trityl-L-cysteine	KIF11	Mitosis
NpCpG	41	0.00508903057437322	0.488247009815479	0.297787725994154	0.800520376714372	0.16172380894925	0.0967904886375862	S-Trityl-L-cysteine	KIF11	Mitosis
MMR	41	0.0367317263178324	0.72816362943891	0.541011965599683	0.980056458917544	0.137832779756393	0.100462841211165	S-Trityl-L-cysteine	KIF11	Mitosis
EPP2	41	0.0837838075350048	0.689042563987013	0.451126521214098	1.05243126408982	0.0703313373679656	0.97011631765142	S-Trityl-L-cysteine	KIF11	Mitosis
EPP1	45	0.666191514967936	1.48548343306033	0.193537897591845	11.401699911768	-0.473248284307549	0.964621198143617	Z-LLNle-CHO	gamma-secretase	Other
Tobacco	45	0.419077333184522	0.901329171375062	0.698460368614702	1.16312150506539	-0.0393085678253169	0.766312837823126	Z-LLNle-CHO	gamma-secretase	Other
APOBEC	45	0.807053581173698	1.04019202420655	0.754273483665058	1.4344922241803	-0.0797191123055323	0.994324736052558	Z-LLNle-CHO	gamma-secretase	Other
NpCpG	45	0.109051094536879	0.717760815331548	0.477572574124108	1.07874826976879	-0.0341782263607913	0.329210851432089	Z-LLNle-CHO	gamma-secretase	Other
MMR	45	0.650531267237698	0.946107042577181	0.742047486883179	1.20628201272388	-0.0253402996503509	0.712910977794738	Z-LLNle-CHO	gamma-secretase	Other
EPP2	45	0.711995783096796	1.06563450281443	0.756784448265224	1.50052884436464	-0.0824833114041197	0.97011631765142	Z-LLNle-CHO	gamma-secretase	Other
EPP1	51	0.555941607702636	2.06759073234024	0.13541742954112	31.5685466113587	0.306873504090256	0.943967525706146	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
Tobacco	51	0.729992998022776	0.930838250754854	0.616103154238907	1.40635515839669	0.388617742998005	0.901284099197376	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
APOBEC	51	0.673599716764662	0.890705267150682	0.515385564634438	1.53934438092517	0.342926470714684	0.994324736052558	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
NpCpG	51	0.108635198134271	0.59040525687296	0.309261827896854	1.12713026924061	0.413249563790068	0.329210851432089	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
MMR	51	0.764525276623439	0.941428459911879	0.630761163577937	1.40510798113293	0.378945034718618	0.799503557253269	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
EPP2	51	0.264623097386895	0.732595495454086	0.421786107436386	1.27243678845103	0.394444097675141	0.97011631765142	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling
EPP1	52	0.656588008220278	1.1801001654461	0.51608029471906	2.69848784140078	-0.0929832288914767	0.963798911149032	GNF-2	BCR-ABL	ABL signaling
Tobacco	52	0.18077462437065	0.902935894177513	0.77664311146295	1.04976560914625	0.0170638187042595	0.566872403325889	GNF-2	BCR-ABL	ABL signaling
APOBEC	52	0.388277866092818	0.920484793132176	0.760633988655598	1.11392899479177	-0.0316132396684943	0.965901097952808	GNF-2	BCR-ABL	ABL signaling
NpCpG	52	0.0825995137315488	0.807881328858016	0.634489174511525	1.02865780494973	0.0073643234137083	0.307347027838321	GNF-2	BCR-ABL	ABL signaling
MMR	52	0.0229024551926332	0.843902191425151	0.729640339877716	0.976057476223872	0.0324759119934098	0.0749949388941839	GNF-2	BCR-ABL	ABL signaling
EPP2	52	0.313742771802946	0.905306269486523	0.744450854254832	1.10091812896363	-0.0308798529697982	0.97011631765142	GNF-2	BCR-ABL	ABL signaling
EPP1	53	0.897089453671859	1.10154521069029	0.20726115362064	5.85445863828233	-0.170928321179163	0.984523882549489	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
Tobacco	53	0.350517809532123	0.876055233511136	0.661518428348932	1.16016839330957	-0.0145118545989724	0.722929167945602	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
APOBEC	53	0.220425199596111	0.807068058057393	0.570836986113279	1.14105929745637	-0.0110981979498992	0.892949074100238	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
NpCpG	53	0.0299118488399833	0.615957879079575	0.398258848516173	0.952657072689751	0.0546576024264108	0.183107657898601	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
MMR	53	0.223601254168547	0.850929508650926	0.654624383579891	1.10610152456159	0.0204535219201518	0.335926766825987	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
EPP2	53	0.545177640138906	0.89839023210569	0.632004039896543	1.27705672462954	0.0198717539579284	0.97011631765142	CGP-60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
EPP1	54	0.324411338006384	1.67920434060924	0.537922169369208	5.24188698306944	0.237203844994555	0.888857271285445	CGP-082996	CDK4	Cell cycle
Tobacco	54	0.434090554648713	0.912978117778088	0.72475267195058	1.1500875758047	-0.0636589453428824	0.773778592017932	CGP-082996	CDK4	Cell cycle
APOBEC	54	0.451848141363659	0.897573368822679	0.674648798917169	1.19415902572237	0.0391430293701104	0.966239807409131	CGP-082996	CDK4	Cell cycle
NpCpG	54	0.113829757821584	0.752334217295501	0.527829133984034	1.0723295439216	0.0234540778937722	0.334179105531256	CGP-082996	CDK4	Cell cycle
MMR	54	0.165867554485244	0.857514468636007	0.688861448252662	1.06745858080069	0.0196007257513249	0.279355881238305	CGP-082996	CDK4	Cell cycle
EPP2	54	0.524969119918241	0.907063664261102	0.668842154953037	1.23013252817557	-0.00416640097772558	0.97011631765142	CGP-082996	CDK4	Cell cycle
EPP1	55	0.24495828164887	3.39408132418688	0.359260587178066	32.065270854452	0.114590242014452	0.848978355903574	A-770041	LCK, FYN	Other, kinases
Tobacco	55	0.562014976059992	0.900491327367548	0.628921954306995	1.28932473276064	0.108265240438186	0.824976111647695	A-770041	LCK, FYN	Other, kinases
APOBEC	55	0.8163395135678	0.94701857334187	0.593722169673579	1.51054520795062	0.0927215323392947	0.994324736052558	A-770041	LCK, FYN	Other, kinases
NpCpG	55	0.051426469726595	0.58085064355512	0.336224045658819	1.0034602654825	0.182708140956261	0.222384733952843	A-770041	LCK, FYN	Other, kinases
MMR	55	0.513147579943808	0.892062445901179	0.630701064577788	1.26173151129832	0.13041877585685	0.60370303522801	A-770041	LCK, FYN	Other, kinases
EPP2	55	0.187466675247103	0.729874588407509	0.455282834853118	1.17007906738872	0.148888519343773	0.97011631765142	A-770041	LCK, FYN	Other, kinases
EPP1	56	0.925425329728832	0.886462273659484	0.0499041636027548	15.7464889879081	0.0713314000302391	0.984523882549489	WH-4-023	SRC, LCK	Other, kinases
Tobacco	56	0.708754526276393	0.923663597415681	0.605414093871948	1.4092080938098	0.244020275872015	0.889417444739003	WH-4-023	SRC, LCK	Other, kinases
APOBEC	56	0.335899379672887	0.760813460686434	0.432936045085295	1.33700376425721	0.202420986844098	0.959349061735898	WH-4-023	SRC, LCK	Other, kinases
NpCpG	56	0.107139148119602	0.582044024574633	0.300452120856256	1.1275515232762	0.26275665924847	0.329210851432089	WH-4-023	SRC, LCK	Other, kinases
MMR	56	0.913808505952392	0.977928566831857	0.649038081009792	1.47347946107862	0.235864962698024	0.922456535977178	WH-4-023	SRC, LCK	Other, kinases
EPP2	56	0.0648921274112555	0.60574355905108	0.35543238357517	1.03233491456546	0.344240831877422	0.97011631765142	WH-4-023	SRC, LCK	Other, kinases
EPP1	59	0.941487543130979	1.05685231754991	0.196265912473332	5.69093637827904	0.037915827166593	0.984523882549489	WZ-1-84	BMX	Other, kinases
Tobacco	59	0.270076076265757	0.873181846365534	0.684562331837942	1.11377226201634	-0.0325592398216521	0.654729881856381	WZ-1-84	BMX	Other, kinases
APOBEC	59	0.584488040985541	0.914526692257541	0.660674093079813	1.26591776431361	0.00885440378943247	0.978801314786528	WZ-1-84	BMX	Other, kinases
NpCpG	59	0.014430677442488	0.618317859245176	0.42188811014637	0.906204668647561	0.0868697412471066	0.148961831664392	WZ-1-84	BMX	Other, kinases
MMR	59	0.221014603548865	0.860098262502232	0.674230672725896	1.0972046379446	0.0371749652603094	0.333606948753004	WZ-1-84	BMX	Other, kinases
EPP2	59	0.132556052557915	0.775690441112597	0.556009323861097	1.08216829217017	0.0166527162310083	0.97011631765142	WZ-1-84	BMX	Other, kinases
EPP1	60	0.527396113821783	1.87307788284656	0.209509282661091	16.7458964617061	0.0861180560626308	0.943967525706146	BI-2536	PLK1, PLK2, PLK3	Cell cycle
Tobacco	60	0.0612674886980082	0.711271154540244	0.497602120311275	1.0166891068803	0.067232985715948	0.369916912893634	BI-2536	PLK1, PLK2, PLK3	Cell cycle
APOBEC	60	0.101421290428741	0.704619725968903	0.462502444419202	1.07348396579389	0.10837297878516	0.892949074100238	BI-2536	PLK1, PLK2, PLK3	Cell cycle
NpCpG	60	0.000251209655721926	0.36153436220324	0.21361623172235	0.611878104954081	0.192113477598886	0.0257879956388954	BI-2536	PLK1, PLK2, PLK3	Cell cycle
MMR	60	0.00345552936680877	0.614779683726691	0.446290596453976	0.846878833043185	0.151397090348679	0.0264595792355442	BI-2536	PLK1, PLK2, PLK3	Cell cycle
EPP2	60	0.0292087971356947	0.608597191668719	0.390092932351352	0.949493084825862	0.0952070417908181	0.97011631765142	BI-2536	PLK1, PLK2, PLK3	Cell cycle
EPP1	62	0.744965740338121	1.50065232202963	0.0931455715495765	24.1767520897579	-0.319290763063594	0.984523882549489	BMS-536924	IGF1R, IR	IGF1R signaling
Tobacco	62	0.406007705452256	0.852351335199054	0.582153174314122	1.24795815031251	-0.00091695341965381	0.759748386516286	BMS-536924	IGF1R, IR	IGF1R signaling
APOBEC	62	0.789136125122349	0.938164119932541	0.583179479230534	1.50922991510281	0.0396236693987135	0.994324736052558	BMS-536924	IGF1R, IR	IGF1R signaling
NpCpG	62	0.0241285472644707	0.503319279862566	0.277869244416111	0.91168887011478	0.075866466964005	0.180732622350413	BMS-536924	IGF1R, IR	IGF1R signaling
MMR	62	0.348274437353767	0.837310496978646	0.575388843061742	1.21846100563927	-0.026120455311069	0.464365916471689	BMS-536924	IGF1R, IR	IGF1R signaling
EPP2	62	0.436058586420628	0.832777414126998	0.522502130381017	1.32730218913045	0.0838734889740651	0.97011631765142	BMS-536924	IGF1R, IR	IGF1R signaling
EPP1	63	0.981748469572812	0.985098577748384	0.227201128743989	4.27119008275422	-0.157890956397581	0.984523882549489	BMS-509744	ITK	Other, kinases
Tobacco	63	0.0632985017188464	0.78628257297519	0.609833336926695	1.01378564786267	-0.0777156230755385	0.375102232407979	BMS-509744	ITK	Other, kinases
APOBEC	63	0.437622342598086	0.885996783460717	0.649886889326293	1.20788757735442	-0.0628530256129074	0.966239807409131	BMS-509744	ITK	Other, kinases
NpCpG	63	0.000244844082143059	0.48408333274782	0.332818762448672	0.704096942492466	0.105035560220171	0.0257879956388954	BMS-509744	ITK	Other, kinases
MMR	63	0.00429664595092835	0.702288336924399	0.553170077111409	0.891604460522376	0.0125613366678029	0.0290506337728347	BMS-509744	ITK	Other, kinases
EPP2	63	0.0842279062094317	0.751007742684411	0.542033327907539	1.04054972366597	-0.0324317643347309	0.97011631765142	BMS-509744	ITK	Other, kinases
EPP1	64	0.868265841807342	1.09278045212116	0.330913014155921	3.60871003996069	0.0926684410640085	0.984523882549489	CMK	RSK2	Other, kinases
Tobacco	64	0.360710123440976	0.889639219898343	0.690376548570318	1.1464148705809	-0.0132002897269932	0.722929167945602	CMK	RSK2	Other, kinases
APOBEC	64	0.585854372849129	0.909747448328121	0.643997501039203	1.28516091817745	-0.0697061472421732	0.978801314786528	CMK	RSK2	Other, kinases
NpCpG	64	0.0948780046258482	0.711142324322705	0.475976571200972	1.0624964253326	0.0130828822963751	0.326401023215002	CMK	RSK2	Other, kinases
MMR	64	0.131535620522965	0.831943837872982	0.654087881944422	1.05816140075446	0.0278220856946525	0.235988908467961	CMK	RSK2	Other, kinases
EPP2	64	0.796862069677982	1.04598903199949	0.739114088996982	1.4802762812274	-0.0472094281038828	0.97011631765142	CMK	RSK2	Other, kinases
EPP1	71	0.197654512396057	0.577568328337208	0.236537850622568	1.4102824263442	-0.0483999705202347	0.830407215421263	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
Tobacco	71	0.0271881378895612	0.695199783238692	0.504119651851879	0.958706404004915	0.110585856134317	0.29000680415532	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
APOBEC	71	0.745304565314815	1.0591169867791	0.744745394016497	1.50619097572988	0.0445980427746736	0.994324736052558	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
NpCpG	71	0.0184228250436179	0.462729412651643	0.24474267437052	0.874871984968083	0.0773240292285545	0.163758444832159	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
MMR	71	0.0243379425227162	0.691278083212061	0.50201225124885	0.951899853321428	0.108520834899363	0.0771810720389128	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
EPP2	71	0.773839836252149	0.942948296450449	0.628153334128499	1.41550070893505	0.073569913503168	0.97011631765142	Pyrimethamine	Dihydrofolate reductase (DHFR)	Other
EPP1	83	0.492830998399666	2.55980309467387	0.118596708849129	55.2510431957911	-0.138409181786826	0.943967525706146	JW-7-52-1	MTOR	PI3K/MTOR signaling
Tobacco	83	0.815333711345628	0.949937137034592	0.613382896960734	1.47115377489119	-0.0634734735677318	0.95153964087505	JW-7-52-1	MTOR	PI3K/MTOR signaling
